"65","“别被抖音上月薪5万的生活骗了”","<p>文 | 春丽  来源 | 娱乐新青年（ID：iiiquan）</p>","铁成武","https://www.jianshu.com/p/0f5330a36588","0f5330a36588","11694","2588",
"66","邓婕想生孩子，张国立：“如果你觉得寂寞，不如养条狗吧。”","<p>文/麦大人</p>","麦大人","https://www.jianshu.com/p/a6acb719a978","a6acb719a978","27343","3070","婚姻育儿,想法,简书热文制造局,圣殿骑士团plus,【圣殿骑士团】,四大天王,简书汇"
"67","人丑,穿什么衣服,都会被骂的.","<p>本文作者：甘北 , 首发公众号：甘北</p>","S小姐说","https://www.jianshu.com/p/013cfe1231fa","013cfe1231fa","20356","2778","红茶美文集"
"68","45岁朴树的叛逆，是千万成年人的最后倔强","<p>这个夏天，动不动就消失在大众视野的朴树又出现了。</p>","网易公开课","https://www.jianshu.com/p/07fedbf2eeaa","07fedbf2eeaa","27704","2833","蝉心悦疗室,前世今生,一花一世界,好文,百赞文集"
"69","怎么样提高今日头条推荐量，教你三种绝密方法！","<p>今日头条是一个开放内容平台，最大的特点就是去中心化。内容由算法推荐，对用户来说，获取感兴趣内容的效率变高了；对内容生产者来说，内容能精准到达更多受众，但与用户之间的联系却变弱了。很多做自媒体的一直在摸透头条推荐算法，然而，头条系统不断升级，每一次升级，规则越来越难懂，那么，如何提高头条推荐量呢？</p>","可妮自媒体","https://www.jianshu.com/p/3585042dd6e5","3585042dd6e5","844","713","可妮自媒体"
"70","2018-12-19","<p>很多做自媒体的人对于运营都是七窍通了六窍，对于该用哪些工具也是比较懵。</p>","可妮自媒体","https://www.jianshu.com/p/58468635a97e","58468635a97e","44","1252","可妮自媒体,自媒体收藏"
"71","RpgMaker 教程2","<p><a href=""https://link.jianshu.com?t=http://www.gengzhibo.com/2017/04/25/RpgMaker%E6%95%99%E7%A8%8B2/"" target=""_blank"" rel=""nofollow"">欢迎移步我的博客查看本文章</a></p>","又似在水一方","https://www.jianshu.com/p/c17b509be97a","c17b509be97a","489","943",
"72","一看就懂的App开发流程","<p>APP开发的流程归纳为：4大环节，11大重要节点，其中每个节点都可能给甲方汇报（看双发如何沟通吧），甲方不通过就返回上个节点。</p>","666frank666","https://www.jianshu.com/p/b7e6d9bbaf68","b7e6d9bbaf68","234","1009","0岁的产品经理"
"73","saltstack模块分解解析","<p>创建目录：<br>
一个创建目录基本的例子：</p>","老夫刘某","https://www.jianshu.com/p/b19c7df96b0f","b19c7df96b0f","184","728",
"74","027-屁股决定脑袋","<p>屁股决定脑袋是指人们所处的位置不同，思考问题的方式方法都会不同，立场观点也会不同。</p>","文明发言","https://www.jianshu.com/p/a1b77da8a5ee","a1b77da8a5ee","48","259",
"75","你只看到鲁豫的成功，却不曾看懂她的辛酸","<p></p>","S小姐说","https://www.jianshu.com/p/39f0f87beec1","39f0f87beec1","6143","2780","可借鉴的好知识,铿锵玫瑰，女人如花,人生态度"
"76","凌晨1点，知乎热帖：“我985毕业，第一次坐飞机被空姐羞辱了”","<p><br></p>","精读君","https://www.jianshu.com/p/5c5594650cb4","5c5594650cb4","105460","2152","想法,随笔散文,读书笔记,一方清远林·清远书斋,反省.思考.鸡...,生活.情感.大...,纸飞机的梦 · 散文"
"77","妃子被关进冷宫，半个月不给食物，太监打开门一看：怎么还活着？","<p>在皇帝的众多后宫佳丽之中，能得宠长期陪伴皇帝的也就那么几个，其他人的命运就很难说了，可能一个不小心，就会失宠打入冷宫。明朝年间，就有一名妃子遭到陷害后，被关进冷宫，半个月不给食物，但她居然没死，太监打开门后都惊呆了，视为奇迹。</p>","好奇研究室","https://www.jianshu.com/p/4f9894f31b96","4f9894f31b96","9502","1211",
"78","这种打假片来一部吹一部","<p>一场不寻常的恋爱。</p>","Sir电影","https://www.jianshu.com/p/937da81548f2","937da81548f2","81","3077",
"79","是你们说的全程高潮，但结局我想骂街","<p>寒冬，贝加尔湖。</p>","Sir电影","https://www.jianshu.com/p/47ceddf718bb","47ceddf718bb","83","2410",
"80","少女感正在恶心中国银幕","<p>有两个事，Sir不敢相信自己的眼睛。</p>","Sir电影","https://www.jianshu.com/p/e6fce72029ad","e6fce72029ad","38984","3807","简书优质文章,写实,生.活,读书,缅甸环球赌场客服,美文赏析"
