大数据开发工程师(J10401),新大陆科技集团有限公司,福州-马尾区,1-2万/月,12-04
Java开发工程师（大数据平台）,福建三元达控股有限公司,福州-鼓楼区,0.9-1.4万/月,12-04
大数据开发工程师,弘扬软件股份有限公司,福州-仓山区,1-1.5万/月,12-04
大数据架构师,福建省麦迪尔企业管理咨询有限公司...,异地招聘,30-40万/年,12-02
大数据开发工程师,福建省麦迪尔企业管理咨询有限公司...,异地招聘,1.5-2万/月,12-02
大数据算法工程师,福建中锐网络股份有限公司,福州-闽侯县,1.5-2万/月,12-02
大数据产品售前工程师,北京新大陆时代教育科技有限公司,福州,1-1.5万/月,11-29
产品开发工程师（大数据算法方向）-技术类（福州）,移动设计院福建分公司,福州,面议,11-11
区域销售（大数据教育方向）,安徽七天教育科技有限公司,福州-福清市,0.8-1万/月,11-02
区域销售（大数据教育方向）,安徽七天教育科技有限公司,福州-闽侯县,0.8-1万/月,11-02
区域销售（大数据教育方向）,安徽七天教育科技有限公司,福州-罗源县,0.8-1万/月,11-02
区域销售（大数据教育方向）,安徽七天教育科技有限公司,福州-福清市,0.8-1万/月,11-02
区域销售（大数据教育方向）,安徽七天教育科技有限公司,福州-长乐市,0.8-1万/月,11-02
大数据平台开发工程师,福州龙腾简合网络技术有限公司,福州,1.3-2.1万/月,10-14
大数据应用开发工程师,福州龙腾简合网络技术有限公司,福州,1-1.6万/月,10-14
人事行政主管,中电（福建）健康医疗大数据运营服...,福州-晋安区,6-9千/月,12-04
行政专员,中电（福建）健康医疗大数据运营服...,福州-晋安区,4-6千/月,12-04
会计,中电（福建）健康医疗大数据运营服...,福州-晋安区,6-8千/月,12-04
IT中心总监,中电（福建）健康医疗大数据运营服...,福州-长乐市,2-3万/月,12-04
项目经理,中电（福建）健康医疗大数据运营服...,福州-长乐市,1.5-2万/月,12-04
平台架构工程师,中电（福建）健康医疗大数据运营服...,福州-长乐市,1.5-2万/月,12-04
产品经理 （HMO项目）,中电（福建）健康医疗大数据运营服...,福州-长乐市,1.2-2万/月,12-04
健康险产品中心总监,中电（福建）健康医疗大数据运营服...,福州-长乐市,1.5-2万/月,12-04
健康险产品研发部经理,中电（福建）健康医疗大数据运营服...,福州-长乐市,1.2-2万/月,12-04
金融产品分析师,中电（福建）健康医疗大数据运营服...,福州-长乐市,1.5-2万/月,12-04
TPA业务部经理,中电（福建）健康医疗大数据运营服...,福州-长乐市,1.2-2万/月,12-04
TPA业务经理,中电（福建）健康医疗大数据运营服...,福州-长乐市,0.8-1.2万/月,12-04
风控经理,中电（福建）健康医疗大数据运营服...,福州-长乐市,1-1.5万/月,12-04
风控数据分析经理,中电（福建）健康医疗大数据运营服...,福州-长乐市,1.2-2万/月,12-04
健康险研发部研究员,中电（福建）健康医疗大数据运营服...,福州-长乐市,0.8-1万/月,12-04
薪酬绩效主管,中电（福建）健康医疗大数据运营服...,福州-晋安区,0.8-1万/月,12-04
高级Java开发工程师,中电（福建）健康医疗大数据运营服...,福州-长乐市,1.5-2.2万/月,12-04
咨询经理,中电（福建）健康医疗大数据运营服...,福州-晋安区,1.2-2万/月,12-04
出纳,中电（福建）健康医疗大数据运营服...,福州-晋安区,5-8千/月,12-04
售前工程师,中电（福建）健康医疗大数据运营服...,福州-长乐市,1-1.5万/月,12-04
展厅讲解员,中电（福建）健康医疗大数据运营服...,福州-长乐市,6-9千/月,12-04
行政前台(五险一金+双休）,中电（福建）健康医疗大数据运营服...,福州-长乐市,3.5-5.5千/月,12-04
安全运维工程师,中电（福建）健康医疗大数据运营服...,福州-长乐市,0.8-1.3万/月,12-04
视觉设计师,中电（福建）健康医疗大数据运营服...,福州-长乐市,0.9-1.8万/月,12-04
运维工程师,中电（福建）健康医疗大数据运营服...,福州-长乐市,0.9-1.8万/月,12-04
高级需求分析师,中电（福建）健康医疗大数据运营服...,福州-长乐市,1-2万/月,12-04
产品经理,中电（福建）健康医疗大数据运营服...,福州-长乐市,1.5-2万/月,12-04
UE交互设计师,中电（福建）健康医疗大数据运营服...,福州-长乐市,0.8-1.6万/月,12-04
实施工程师,中电（福建）健康医疗大数据运营服...,福州-长乐市,0.8-1.6万/月,12-04
招聘专员,中电（福建）健康医疗大数据运营服...,福州-晋安区,5-8千/月,12-04
技术总监,中电（福建）健康医疗大数据运营服...,福州-长乐市,2-3万/月,12-04
测试工程师,中电（福建）健康医疗大数据运营服...,福州-长乐市,0.8-1.6万/月,12-04
前端开发工程师,中电（福建）健康医疗大数据运营服...,福州-长乐市,1-1.8万/月,12-04
后端开发工程师,中电（福建）健康医疗大数据运营服...,福州-长乐市,1-1.8万/月,12-04
销售经理,旋极伏羲（福州）大数据技术有限公...,福州-仓山区,0.8-1.2万/月,12-04
行政前台,旋极伏羲（福州）大数据技术有限公...,福州-仓山区,3.5-4.5千/月,12-04
人事主管,旋极伏羲（福州）大数据技术有限公...,福州-仓山区,6-8千/月,12-04
解决方案工程师,旋极伏羲（福州）大数据技术有限公...,福州-仓山区,1-2万/月,12-04
Java开发工程师,旋极伏羲（福州）大数据技术有限公...,福州-仓山区,1-1.5万/月,12-04
前端开发工程师,旋极伏羲（福州）大数据技术有限公...,福州-仓山区,1-1.5万/月,12-04
开发经理,旋极伏羲（福州）大数据技术有限公...,福州-仓山区,1.5-2.5万/月,12-04
销售总监,旋极伏羲（福州）大数据技术有限公...,福州-仓山区,1.5-2万/月,12-04
数据可视化研发工程师,福建省星云大数据应用服务有限公司...,异地招聘,8-20万/年,11-14
GIS开发工程师,福建省星云大数据应用服务有限公司...,福州-鼓楼区,0.6-1.2万/月,11-14
数据分析与应用工程师,福建省星云大数据应用服务有限公司...,福州-鼓楼区,0.5-1万/月,11-11
销售/商务专员,福建省星云大数据应用服务有限公司...,福州-鼓楼区,4-8千/月,11-03
遥感产品经理,福建省星云大数据应用服务有限公司...,异地招聘,0.5-1.5万/月,10-30
遥感应用工程师,福建省星云大数据应用服务有限公司...,异地招聘,0.5-1.5万/月,10-30
人工智能工程师（卫星数据方向）,福建省星云大数据应用服务有限公司...,福州-鼓楼区,0.6-1.2万/月,10-30
行政专员,福建省星云大数据应用服务有限公司...,福州-鼓楼区,6-8千/月,10-30
销售经理,福建省星云大数据应用服务有限公司...,异地招聘,0.4-1万/月,10-30
运维工程师,福建省星云大数据应用服务有限公司...,福州-鼓楼区,0.6-1.2万/月,10-30
售前支撑工程师,福建省星云大数据应用服务有限公司...,福州-鼓楼区,0.8-1.2万/月,10-30
数据处理及挖掘工程师,福建省星云大数据应用服务有限公司...,福州-鼓楼区,0.8-1.2万/月,10-30
售前解决方案工程师,福建省星云大数据应用服务有限公司...,福州-鼓楼区,4-8千/月,10-30
数据管理员,福建省星云大数据应用服务有限公司...,异地招聘,0.4-1万/月,10-30
售前支撑,福建省星云大数据应用服务有限公司...,异地招聘,10-15万/年,10-30
金融分析师助理,福州咸鱼科技有限公司,福州,0.8-1万/月,12-04
数据专员,福州咸鱼科技有限公司,福州,6-8千/月,12-04
运营项目经理助理,福州咸鱼科技有限公司,福州,6-8千/月,12-04
商业数据分析师（五险一金+双休）,福州咸鱼科技有限公司,福州,6-8千/月,12-04
数据运营岗（五险一金 双休）,福州咸鱼科技有限公司,福州,6-8千/月,12-04
金融分析师（6-10k）,福州咸鱼科技有限公司,福州,0.8-1万/月,12-04
数据分析员6000双休,福州咸鱼科技有限公司,福州,6-8千/月,12-04
助理数据分析师,福州咸鱼科技有限公司,福州,0.6-1万/月,12-04
数据产品经理,福州咸鱼科技有限公司,福州,0.6-1万/月,12-04
数据分析员（0基础亦可）,福州咸鱼科技有限公司,福州,3-4.5千/月,12-04
数据分析师（风控方向）,福州咸鱼科技有限公司,福州,6.5-8.5千/月,12-04
数据分析实习生,福州咸鱼科技有限公司,福州,4-6千/月,12-04
数据挖掘/数据分析(高薪 项目奖金 五险一金),福州咸鱼科技有限公司,福州,0.8-1万/月,12-04
